company_name,industry,match_method,wiki_title,qid
Dimensions International College,,wikipedia,List of universities in Singapore,Q1469730
Sequoia Living,,wikipedia,Sequoia sempervirens,Q150129
ATR International,,wikipedia,ATR 42,Q218637
Zenyum,,,,
TEAM LEWIS,,wikipedia,Ray Lewis,Q44428
Prada USA,,wikipedia,The Devil Wears Prada 2,Q134611972
US Department of Energy,,wikipedia,United States Department of Energy,Q217810
SelectQuote,,wikipedia,SelectQuote,Q131824311
Nations Lending Services,,wikipedia,Tribal Lending Enterprise,Q55636185
VFS Global,,wikipedia,VFS Global,Q7906873
Deployed Resources,,wikipedia,Blue–green deployment,Q85747842
Ascend Wellness Holdings,,wikipedia,Ascend Wellness Holdings,Q136995415
Elastic Path,,wikipedia,Headless commerce,Q106254305
Curvature,,wikipedia,Curvature,Q214881
Manhattan Associates,,wikipedia,Manhattan,Q11299
IMD International Institute for Management Development,,wikipedia,IMD Business School,Q667972
Peaden,,wikipedia,Blackwater River (Florida),Q2905606
Elastic,,wikipedia,Elastic,Q5353541
Coulter Partners,,wikipedia,Dan Reynolds,Q5214275
M247,,wikipedia,M247 Sergeant York,Q1553273
Valencia College,,wikipedia,Valencia College,Q7910651
Nordia,,wikipedia,Nordia Inc.,Q16944277
Red Raider Outfitter,,wikipedia,Baylor University sexual assault scandal,Q24525744
Allios,,wikipedia,Tha 'Mai Allios,Q2405630
Arclin,,wikipedia,Arclin,Q2370074
WGM Engineering,,wikipedia,WETA (FM),Q7949066
Vitasave,,,,
AO,,wikipedia,AO,Q223855
Avantor,,wikipedia,Avantor,Q104842834
Chubb,,wikipedia,Nick Chubb,Q18421947
Acora IT Managed Services,,,,
National Federation of Independent Business,,wikipedia,National Federation of Independent Business,Q6972597
Epson Europe,,wikipedia,Epson R-D1,Q349980
Nurtur,,wikipedia,Kali Theatre,Q16938959
Appliance Factory and Mattress Kingdom,,wikipedia,Frontier Mall,Q5506014
Coles,,wikipedia,Coles,Q349577
Xebia,,wikipedia,Application-release automation,Q4781496
Precision Diagnostics,,wikipedia,Precision diagnostics,Q113159201
Hydro Cleansing,,wikipedia,Facial,Q2667974
PatientPoint,,wikipedia,Outcome Health,Q43080139
RapidDeploy,,wikipedia,Amphibious Rapid Deployment Brigade,Q16601239
The Plum Guide,,wikipedia,The Plum Guide,Q30325270
Noah Medical,,wikipedia,Noah Wyle,Q315208
Slice,,wikipedia,Slice,Q419057
Amey,,wikipedia,Amey,Q470440
Rogue Fitness,,wikipedia,Rogue Fitness,Q28401914
Cross Check Quality Inspection,,wikipedia,Care Quality Commission,Q5038860
Avery Weigh Tronix,,wikipedia,Avery Weigh-Tronix,Q4828411
Innovapptive,,,,
Miro,,wikipedia,Miro,Q351647
Everly Health,,wikipedia,The Everly Brothers,Q690138
VF,,wikipedia,VF,Q357129
Apple,,wikipedia,Apple,Q89
Pelmorex Corp,,wikipedia,Pelmorex,Q16748934
SG Digital,,wikipedia,Stargate SG-1,Q187462
CTS International,,wikipedia,Cadillac CTS,Q770733
Torres Multicultural Communications,,wikipedia,Multiculturalism in Australia,Q6934638
Digital Factory,,wikipedia,Digital factory,Q1224893
Automated Systems,,wikipedia,Automation,Q184199
SouthLight,,wikipedia,Hinchcliff House,Q59872509
Entrepreneurs Organization,,wikipedia,Entrepreneurs' Organization,Q841831
W B Mason,,wikipedia,W. B. Mason,Q7945165
Taylor and Francis Group,,wikipedia,Taylor & Francis,Q880582
Medical Solutions,,wikipedia,List of Sony products,Q112039726
Collibra,,wikipedia,CapitalG,Q18151794
Carewell Urgent Care,,,,
Devsu,,,,
Carbon,,wikipedia,Carbon,Q623
RiskOptics,,wikipedia,User Friendly,Q281291
Michael Bailey Associates,,wikipedia,J. Michael Bailey,Q6106509
Missouri State Auditor s Office,,wikipedia,State Auditor of Missouri,Q7603054
Summit Psychological Associates,,wikipedia,Psychology,Q9418
Red Meters,,wikipedia,The Meters,Q1887369
Caring com,,wikipedia,Caring.com,Q121461625
Philadelphia Cricket Club,,wikipedia,Philadelphia Cricket Club,Q3378847
Pursuit,,wikipedia,Pursuit,Q3925982
Neilson Financial Services,,wikipedia,Annabelle Neilson,Q22957824
DataPath,,wikipedia,Datapath,Q1633673
European Commission,,wikipedia,European Commission,Q8880
Delvinia,,wikipedia,Sara Diamond (academic administrator),Q7421609
360i,,wikipedia,360i,Q4635648
Moon Technolabs,,wikipedia,WebRTC,Q1089715
Auction com,,wikipedia,Auction,Q177923
Brookfield Asset Management,,wikipedia,Brookfield Asset Management,Q133824445
Blount Fine Foods,,wikipedia,Blount Fine Foods,Q16984589
Bizmates,,,,
BorderLink,,wikipedia,Detroit–Windsor Tunnel,Q1129573
JumpCrew,,wikipedia,Automated Housing Referral Network,Q18635275
Your Housing Group,,wikipedia,Whitefriars Housing Group,Q7995932
ReCept Pharmacy,,wikipedia,Over-the-counter drug,Q1154971
Samsung Electronics America,,wikipedia,"White v. Samsung Electronics America, Inc.",Q19069578
LoanSnap,,wikipedia,Adam Nash (executive),Q17627263
The Bonadio Group,,wikipedia,John Podesta,Q1290476
Axia Women s Health,,wikipedia,Ana S. Iltis,Q93240548
McGraw Hill,,wikipedia,McGraw Hill Education,Q17153156
Elevate Care,,wikipedia,Self-care,Q4519653
Remington College,,wikipedia,Remington College,Q7311825
Northland Physical Medicine,,wikipedia,American College of Sports Medicine,Q4743475
International Committee of the Red Cross,,wikipedia,International Committee of the Red Cross,Q5987345
Rothman Institute,,wikipedia,Dale Caldwell,Q127784729
The Megahair Family,,,,
GDS Group,,wikipedia,Grenadier Guards,Q772054
Guerrero Media,,wikipedia,Niana Guerrero,Q35269982
FORMS SURFACES,,wikipedia,Differential forms on a Riemann surface,Q28401481
Maryville,,wikipedia,Maryville,Q353291
Crossover Health,,wikipedia,Abbott Elementary and It's Always Sunny in Philadelphia crossover,Q131870613
SmartConnect Technologies,,wikipedia,Smart city,Q1231558
ReliaQuest,,wikipedia,ReliaQuest,Q123451710
Mode5,,wikipedia,TAI TF Kaan,Q1336692
Great Minds,,wikipedia,Great Minds with Dan Harmon,Q25349421
Brainscope,,wikipedia,"BrainScope Company, Inc.",Q30270991
WellRight,,wikipedia,Bloody Well Right,Q4928121
Briggs Industrial Solutions,,wikipedia,WhiteBoard Product Solutions,Q17108831
Lotus Interworks,,,,
Walkover Web Solutions,,wikipedia,2025 Singaporean general election,Q100719175
DeGolyer and MacNaughton,,wikipedia,DeGolyer and MacNaughton,Q5243906
Tilden Preparatory,,wikipedia,Headlands Preparatory School,Q130644826
Ellsworth,,wikipedia,Ellsworth,Q228550
Jushi,,wikipedia,Jushi Kingdom,Q129854572
Integrated Health Information Systems,,wikipedia,Synapxe,Q116056440
Neo Media World,,wikipedia,Neo: The World Ends with You,Q102356256
AgreeYa Solutions,,wikipedia,Hassan Nasrallah,Q181182
Legacy FA,,wikipedia,Subaru FA engine,Q11312637
Goodway Group,,wikipedia,Avril Palmer-Baunack,Q25091784
Community Brands,,wikipedia,Brand community,Q2989307
MAP Health Management,,wikipedia,Google Maps,Q12013
Children%E2%80%99s Home Society of Florida,,wikipedia,Crispus Attucks,Q288241
Intellipaat,,wikipedia,International Institute of Information Technology Bangalore,Q1666651
LEARFIELD,,wikipedia,Learfield,Q5972014
CatalystOne Solutions,,wikipedia,Wilkinson's catalyst,Q414182
Thales,,wikipedia,Thales of Miletus,Q36303
ConAm Group of Companies,,wikipedia,The Pros and Cons of Hitch Hiking,Q653957
ValueFirst Digital Media,,wikipedia,Digital media,Q1076968
USHEALTH Group,,normalized_wikipedia,Jeffrey Crowley,Q6175918
Brady,,wikipedia,Brady,Q253386
Signant Health,,wikipedia,CDR computerized assessment system,Q5010004
Yotpo,,wikipedia,Attentive (company),Q137217137
Axiom Real Time Metrics,,wikipedia,Metric space,Q180953
